,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
14,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,0
15,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,1,0,1,0,0,0
16,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,0
17,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,0
18,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,1,0,1,0,0,0
19,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,1,0,1,0,0,0
20,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,1,0,1,0,0,0
21,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,3,0,1,0,1,0,0,0
22,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,3,0,0,0,1,0,0,0
23,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,3,0,0,0,1,0,0,0
24,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,3,0,0,0,1,0,0,0
25,3,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,3,0,0,0,1,0,0,0
26,4,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,3,0,0,0,1,0,0,0
27,4,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,2,3,0,0,0,1,0,0,0
28,4,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,2,3,0,0,0,1,0,0,0
29,5,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,2,3,0,0,0,1,0,0,0
30,5,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,2,3,0,0,0,1,0,0,0
31,6,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,2,3,0,0,0,1,0,0,0
32,6,3,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,0,2,3,0,0,0,1,0,0,0
