,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
62,2,6,1,0,1,3,2,0,1,3,2,1,1,1,0,0,1,1,3,6,1,3,4,0,2,2,1,3,0,0,3,0,5,2
63,2,6,1,0,1,3,2,0,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,0,2,2,1,3,0,0,3,0,5,2
64,2,6,1,1,1,3,2,0,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,0,2,2,1,3,0,0,3,0,5,2
65,2,6,1,1,1,3,2,1,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,0,2,2,1,3,0,0,3,0,5,2
66,2,6,1,1,1,3,2,1,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,1,2,2,1,3,0,0,3,0,5,2
67,2,6,1,1,2,3,2,1,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,1,2,2,1,3,0,0,3,0,5,2
68,2,6,1,1,2,3,2,1,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,1,3,2,1,3,0,0,3,0,5,2
69,2,7,1,1,2,3,2,1,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,1,3,2,1,3,0,0,3,0,5,2
70,2,7,1,1,2,3,2,1,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,1,4,2,1,3,0,0,3,0,5,2
71,2,7,1,1,2,3,2,1,1,3,2,1,1,1,1,0,1,1,3,6,1,3,4,1,5,2,1,3,0,0,3,0,5,2
72,2,7,1,1,2,3,2,1,1,3,2,1,2,1,1,0,1,1,3,6,1,3,4,1,5,2,1,3,0,0,3,0,5,2
73,2,7,1,1,2,3,2,1,1,3,3,1,2,1,1,0,1,1,3,6,1,3,4,1,5,2,1,3,0,0,3,0,5,2
74,2,7,1,1,3,3,2,1,1,3,3,1,2,1,1,0,1,1,3,6,1,3,4,1,5,2,1,3,0,0,3,0,5,2
75,2,7,1,1,3,3,2,1,1,3,3,1,2,1,2,0,1,1,3,6,1,3,4,1,5,2,1,3,0,0,3,0,5,2
76,2,8,1,1,3,3,2,1,1,3,3,1,2,1,2,0,1,1,3,6,1,3,4,1,5,2,1,3,0,0,3,0,5,2
77,2,8,1,1,3,3,2,1,1,3,3,1,2,1,2,0,1,2,3,6,1,3,4,1,5,2,1,3,0,0,3,0,5,2
78,2,8,1,1,3,3,2,1,1,3,3,1,2,1,2,0,1,2,3,6,1,3,4,1,5,2,1,4,0,0,3,0,5,2
79,2,8,1,1,3,3,2,1,1,3,3,1,2,1,3,0,1,2,3,6,1,3,4,1,5,2,1,4,0,0,3,0,5,2
80,2,8,1,1,3,3,2,1,1,3,3,1,2,1,3,0,1,2,3,6,1,3,4,1,6,2,1,4,0,0,3,0,5,2
81,2,8,1,1,3,3,2,1,1,3,3,1,2,2,3,0,1,2,3,6,1,3,4,1,6,2,1,4,0,0,3,0,5,2
